Wed Oct 15 2014 17:46:31 GMT-0400 (EDT),169.601,94.11,75.491,76.79162499999998,-1.796834406235369,169.556,94.171,75.385,76.79162500000005,-1.943275115187945
Wed Oct 15 2014 17:47:33 GMT-0400 (EDT),169.641,94.122,75.51899999999999,76.7917976190476,-1.7591366083379987,169.596,94.158,75.438,76.79179761904767,-1.8710869004817854
Wed Oct 15 2014 17:48:34 GMT-0400 (EDT),169.666,94.135,75.53099999999999,76.79186904761903,-1.7429513983911116,169.621,94.175,75.44600000000001,76.7918690476191,-1.8604504115973541
Wed Oct 15 2014 17:49:35 GMT-0400 (EDT),169.696,94.144,75.55199999999999,76.79197023809522,-1.7144773552356756,169.637,94.185,75.452,76.79197023809529,-1.8527449767238824
Wed Oct 15 2014 17:50:36 GMT-0400 (EDT),169.721,94.152,75.569,76.79211309523808,-1.6917387287155652,169.678,94.199,75.479,76.79211309523814,-1.8162214819382576
Wed Oct 15 2014 17:51:37 GMT-0400 (EDT),169.701,94.134,75.567,76.79208928571427,-1.6943777633036765,169.642,94.182,75.46,76.79208928571433,-1.842365687776921
Wed Oct 15 2014 17:52:38 GMT-0400 (EDT),169.745,94.16,75.58500000000001,76.7921726190476,-1.6699218794591006,169.684,94.201,75.483,76.79217261904766,-1.8110218588890166
Wed Oct 15 2014 17:53:39 GMT-0400 (EDT),169.771,94.138,75.63299999999998,76.79247619047617,-1.605046940087824,169.723,94.196,75.52700000000002,76.79247619047625,-1.7517812819081238
Wed Oct 15 2014 17:54:40 GMT-0400 (EDT),169.775,94.149,75.626,76.7924345238095,-1.614529355616499,169.718,94.201,75.517,76.79243452380958,-1.7654025475400004
Wed Oct 15 2014 17:55:41 GMT-0400 (EDT),169.776,94.136,75.64000000000001,76.79251785714284,-1.595561890636052,169.728,94.199,75.52900000000001,76.7925178571429,-1.7492318479190052
Wed Oct 15 2014 17:56:42 GMT-0400 (EDT),169.756,94.134,75.622,76.7924107142857,-1.6199466905881459,169.716,94.191,75.525,76.79241071428575,-1.754202834249213
Wed Oct 15 2014 17:57:43 GMT-0400 (EDT),169.774,94.124,75.65,76.79257738095237,-1.5820072798920402,169.722,94.181,75.54100000000001,76.79257738095244,-1.7329281684034528
Wed Oct 15 2014 17:58:44 GMT-0400 (EDT),169.773,94.133,75.64,76.79251785714284,-1.5955618906360716,169.728,94.18,75.548,76.7925178571429,-1.7229279813590195
Wed Oct 15 2014 17:59:45 GMT-0400 (EDT),169.762,94.101,75.661,76.79264285714284,-1.5670910848480142,169.706,94.171,75.53499999999998,76.79264285714291,-1.741575000386073
Wed Oct 15 2014 18:00:46 GMT-0400 (EDT),169.667,94.066,75.601,76.78219047619046,-1.6253123884868135,169.592,94.11,75.48200000000001,76.78219047619052,-1.7890558135662813
Wed Oct 15 2014 18:01:48 GMT-0400 (EDT),169.679,94.083,75.596,76.7821607142857,-1.632042558131161,169.633,94.122,75.51100000000001,76.78216071428577,-1.7489943470322595
Wed Oct 15 2014 18:02:49 GMT-0400 (EDT),169.685,94.095,75.59,76.78212499999998,-1.640116980275639,169.639,94.131,75.50800000000001,76.78212500000005,-1.7529319891039228
Wed Oct 15 2014 18:03:50 GMT-0400 (EDT),169.631,94.045,75.586,76.78210119047617,-1.645498844556239,169.563,94.082,75.481,76.78210119047624,-1.789949314186189
Wed Oct 15 2014 18:04:51 GMT-0400 (EDT),169.664,94.049,75.61499999999998,76.78226785714284,-1.6064314383554592,169.614,94.086,75.528,76.78226785714291,-1.7261636269014746
Wed Oct 15 2014 18:05:52 GMT-0400 (EDT),169.694,94.028,75.66599999999998,76.78257142857142,-1.5376721912764646,169.647,94.067,75.58,76.78257142857149,-1.6561060013122564
Wed Oct 15 2014 18:06:53 GMT-0400 (EDT),169.638,93.987,75.65100000000001,76.78248809523808,-1.5579376326041534,169.59,94.025,75.565,76.78248809523815,-1.6763503998131484
Wed Oct 15 2014 18:07:54 GMT-0400 (EDT),169.602,93.977,75.625,76.78232142857141,-1.5929309561245821,169.555,94.021,75.534,76.78232142857148,-1.718182864060207
Wed Oct 15 2014 18:08:55 GMT-0400 (EDT),169.579,93.977,75.602,76.78219642857141,-1.6239661931080505,169.533,94.023,75.50999999999999,76.78219642857148,-1.7505594331514764
Wed Oct 15 2014 18:09:56 GMT-0400 (EDT),169.656,93.998,75.658,76.78252976190474,-1.5484947392130017,169.601,94.049,75.55199999999999,76.78252976190481,-1.694458365904422
Wed Oct 15 2014 18:10:57 GMT-0400 (EDT),169.613,93.987,75.626,76.78231547619046,-1.5915255536596913,169.556,94.035,75.52100000000002,76.78231547619052,-1.7360450957633236
Wed Oct 15 2014 18:11:58 GMT-0400 (EDT),169.505,93.939,75.566,76.78198214285713,-1.6723950605216835,169.449,93.982,75.46700000000001,76.78198214285719,-1.8085542236984307
Wed Oct 15 2014 18:12:59 GMT-0400 (EDT),169.517,93.953,75.564,76.78197023809523,-1.6750834728815926,169.467,93.993,75.47400000000002,76.78197023809528,-1.798861138262382
Wed Oct 15 2014 18:14:00 GMT-0400 (EDT),169.45,93.931,75.51899999999999,76.78170238095237,-1.7355136501005115,169.399,93.976,75.423,76.78170238095242,-1.8674602694637232
Wed Oct 15 2014 18:15:01 GMT-0400 (EDT),169.474,93.945,75.529,76.7817619047619,-1.7220945909689598,169.423,93.99,75.433,76.78176190476195,-1.8540598751310302
Wed Oct 15 2014 18:16:03 GMT-0400 (EDT),169.434,93.934,75.5,76.78158928571426,-1.7609940845578866,169.365,93.983,75.382,76.78158928571433,-1.923134408537994
